n4MergeBestArrays,n4MergeBest,n4MergeWorstArrays,n4MergeWorst,n4HeapBestArrays,n4HeapBest,n4HeapWorstArrays,n4HeapWorst,n4QuickBestArrays,n4QuickBest,n4QuickWorstArrays,n4QuickWorst,n4ShakerBestArrays,n4ShakerBest,n4ShakerWorstArrays,n4ShakerWorst,n6MergeBestArrays,n6MergeBest,n6MergeWorstArrays,n6MergeWorst,n6HeapBestArrays,n6HeapBest,n6HeapWorstArrays,n6HeapWorst,n6QuickBestArrays,n6QuickBest,n6QuickWorstArrays,n6QuickWorst,n6ShakerBestArrays,n6ShakerBest,n6ShakerWorstArrays,n6ShakerWorst,n8MergeBestArrays,n8MergeBest,n8MergeWorstArrays,n8MergeWorst,n8HeapBestArrays,n8HeapBest,n8HeapWorstArrays,n8HeapWorst,n8QuickBestArrays,n8QuickBest,n8QuickWorstArrays,n8QuickWorst,n8ShakerBestArrays,n8ShakerBest,n8ShakerWorstArrays,n8ShakerWorst
123,4,213,5,132,6,123,7,231,7,312,12,123,3,2301,15,120453,7,14235,11,503124,12,31452,17,13524,13,204153,24,12345,5,345012,35,1234567,12,2163547,17,70316452,21,3154267,29,1237645,20,43607251,42,1234567,7,45670123,63
132,4,231,5,231,6,213,7,2013,7,1302,11,132,9,2310,15,120543,7,14253,11,503214,12,31542,17,21435,13,350241,24,12354,15,345021,35,1234576,12,2163574,17,70316542,21,3154627,29,1273645,20,46027513,42,1234576,21,45670132,63
1023,4,312,5,1032,6,312,7,2130,7,2301,11,213,9,3201,15,210453,7,14325,11,504123,12,32451,17,23514,13,512430,24,12435,15,345102,35,1235467,12,2163745,17,70326451,21,3174265,29,1352476,20,15346702,41,1234657,21,45670213,63
1032,4,321,5,1230,6,321,7,3012,7,123,10,231,9,3210,15,210543,7,14523,11,504213,12,32541,17,24351,13,524130,24,12453,15,345120,35,1235476,12,2163754,17,70326541,21,3174625,29,1352674,20,30517642,41,1234675,21,45670231,63
2301,4,1203,5,2031,6,1023,7,3120,7,2031,10,312,9,132,9,453120,7,15234,11,513024,12,41352,17,25314,13,541203,24,12534,15,345201,35,1236745,12,2164537,17,70416352,21,3254167,29,1354672,20,37524610,41,1234756,21,45670312,63
2310,4,1230,5,2130,6,1203,7,3201,7,132,9,321,9,213,9,453210,7,15243,11,513204,12,41532,17,45213,13,143025,23,12543,15,345210,35,1236754,12,2164573,17,70416532,21,3254617,29,1354762,20,41537260,41,1234765,21,45670321,63
3201,4,1302,5,3012,6,1302,7,1203,8,213,9,1023,9,231,9,543120,7,15324,11,514023,12,42351,17,53421,13,302415,23,13245,15,354012,35,1237645,12,2164735,17,70426351,21,3274165,29,1365274,20,57640312,41,1235467,21,45671023,63
3210,4,1320,5,3021,6,1320,7,1320,8,321,9,1032,9,312,9,543210,7,15423,11,514203,12,42531,17,124350,13,305241,23,13254,15,354021,35,1237654,12,2164753,17,70426531,21,3274615,29,1367452,20,75160243,41,1235476,21,45671032,63
213,5,2013,5,3102,6,2013,7,3102,8,1023,9,1203,9,321,9,12453,8,24135,11,523014,12,51342,17,124503,13,315204,23,13425,15,354102,35,1324567,12,2165347,17,70516342,21,3654127,29,1374265,20,76213504,41,1235647,21,45671203,63
231,5,2031,5,3120,6,2103,7,3210,8,1032,9,1230,9,1023,9,12543,8,24153,11,523104,12,51432,17,142305,13,321405,23,13452,15,354120,35,1324576,12,2165374,17,70516432,21,3654217,29,1456273,20,2734516,40,1235674,21,45671230,63
